____	____	DNA_type	__	score	GABRB3	ESRRG	AXDND1	PROX1	ADH6	TNFRSF11B	PDX1	COLEC10	PTGFR	JAM2	ZNF793	UST	SULF1	ZNF679	RP11-215A19.2	NCKAP5	PAPSS1	RAB27B	GABRB3	ESRRG	AXDND1	PROX1	ADH6	TNFRSF11B	PDX1	COLEC10	PTGFR	JAM2	ZNF793	UST	SULF1	ZNF679	RP11-215A19.2	NCKAP5	PAPSS1	RAB27B
1815	SHBTU000060CAC	gDNA	NULL	5.81E-09	2506	5320	1116	512	141	220	49	940	1898	485	210	2276	1500	285	696	7218	1028	1302	10.71069607	11.97538754	9.785744204	8.808548005	6.519224483	7.050251113	4.681196301	9.301144534	10.29063786	9.505737029	7.063490285	11.65433625	10.3771763	6.685912749	8.63579984	12.49927448	10.4254815	10.96059408
1834	SHBBL000041CAC	gDNA	NULL	2.84E-07	669	1249	333	113	40	60	12	229	475	153	92	705	420	92	231	1852	311	378	10.15423229	11.30143452	9.359969148	8.147473617	6.11319703	6.572483115	4.408829995	8.642871979	9.654039823	9.282048966	6.94211946	11.36562786	9.910138422	6.236920115	8.267040205	11.93014206	10.11928059	10.64267513
1835	SHCBL000037CAC	gDNA	NULL	3.67E-08	820	1497	407	135	44	76	17	273	550	159	129	901	491	100	219	2261	367	464	10.19086052	11.30612735	9.39543702	8.159063076	6.092161519	6.641639388	4.465135119	8.661322815	9.633966592	9.173807703	7.113223231	11.4196895	9.894789779	6.204851424	8.065115211	11.95231234	10.1037502	10.65606519
1656	SZDPL000053CAC	cfDNA	CAC	0.160503871	807	1809	687	350	110	142	49	369	509	1553	154	6006	931	88	197	2425	2639	4287	8.463310327	9.696518644	8.261736273	7.522230543	5.712018259	6.031958441	4.322297351	7.446164783	7.937208294	9.49801205	6.116301221	11.465917	8.835815843	5.203158215	6.675770177	10.20529142	10.21721491	10.97740245
1538	SZDPL000060CAC	cfDNA	CAC	0.011020591	640	1721	635	920	244	130	41	356	1016	962	113	4018	1130	98	312	5845	1603	2830	8.406341159	9.79871501	8.330715473	8.449013677	6.2653637	6.069352842	4.31754641	7.539114813	8.662170074	9.229645757	6.043438139	11.24896471	9.142626174	5.317981383	7.082849648	11.20602344	9.919131917	10.75074224
1654	SZDPL000064CAC	cfDNA	CAC	0.018796483	613	1384	493	520	125	122	32	352	595	850	92	3503	1001	70	203	3850	1484	2063	8.496661742	9.740048434	8.248678372	8.076746292	5.935111168	6.114293623	4.294473898	7.644759665	8.32044879	9.255045669	6.02037384	11.26360014	9.170224158	5.235243433	6.889946213	10.94023955	9.985745114	10.60961566
1560	SZDPL000089HEA	cfDNA	HEA	0.747027332	191	439	149	64	12	28	11	80	170	372	21	1511	213	20	56	677	524	886	8.572019794	9.85237464	8.303971468	7.504399042	5.570685317	6.021702958	4.32504105	7.49239165	8.30998113	9.640903667	5.982399231	11.66837424	8.9404812	5.215920923	6.86683253	10.49502857	10.19821424	10.99760712
1677	SZDPL000089HEA	cfDNA	HEA	0.655563288	222	506	175	70	14	30	8	96	187	399	29	1660	238	28	64	750	566	956	8.618276745	9.894127548	8.3543797	7.495966976	5.574851069	6.011883794	4.263420493	7.546839754	8.313289332	9.619162521	6.049074651	11.66653383	8.951904759	5.298420373	6.889050382	10.50126607	10.18156577	10.97934618
1567	SZDPL000092HEA	cfDNA	HEA	0.994119706	172	486	188	73	22	32	12	104	142	808	42	3050	359	14	59	837	1159	2154	7.949732528	9.3001165	7.927543139	7.139262638	5.481180035	5.80078545	4.218726349	7.18913267	7.648589	9.660926285	5.929073775	11.61649736	8.750248417	4.955128489	6.518219791	10.01338259	10.2310015	11.11661888
																																								
(Intercept)	-8.6927027																																							
GABRB3	-3.2490634																																							
ESRRG	-1.4128505																																							
AXDND1	-3.1974271																																							
PROX1	-1.8950633																																							
ADH6	-1.2285025																																							
TNFRSF11B	-1.5396808																																							
PDX1	-4.600359																																							
COLEC10	-1.9888603																																							
PTGFR	0.2173152																																							
JAM2	0.9436478																																							
ZNF793	-5.3123669																																							
UST	7.6488906																																							
SULF1	-0.5101044																																							
ZNF679	1.1983394																																							
RP11-215A19.2	3.5269126																																							
NCKAP5	1.1268608																																							
PAPSS1	4.7464687																																							
RAB27B	-1.025781																																							
